cpu_load,ram_usage,cpu_temp,disk_speed,disk_fill,network_bandwidth,process_count,service_state,state
37.35,27.07,20.95,294.05,50.12,8449.21,197.0,Все работают,Хорошее
3.07,50.77,65.09,573.33,78.28,8704.57,67.0,Все работают,Хорошее
79.07,79.25,67.55,6.09,72.45,8989.52,198.0,Все работают,Критическое с риском отказа
31.99,75.32,72.12,15.71,52.15,9747.01,146.0,Все работают,Критическое
4.59,63.76,59.62,79.13,47.72,8111.55,158.0,Все работают,Хорошее
56.12,73.82,64.97,1.12,88.11,685.23,8.0,Критический сервис остановлен,Критическое с риском отказа
15.83,37.16,31.97,907.64,17.35,168.27,30.0,Все работают,Оптимальное
62.02,2.83,40.07,745.48,88.16,8190.41,75.0,Все работают,Критическое
31.82,47.46,24.21,505.62,56.56,5217.16,60.0,Все работают,Хорошее
34.94,10.61,60.58,54.64,84.53,457.32,107.0,Все работают,Хорошее
3.6,23.16,32.58,267.92,18.59,3657.8,88.0,Все работают,Оптимальное
26.43,11.4,65.29,937.22,84.08,923.43,64.0,Все работают,Хорошее
75.16,42.77,51.1,40.84,87.1,8560.91,49.0,Некоторые остановлены,Критическое
31.25,66.97,92.05,24.15,97.66,9925.76,52.0,Все работают,Критическое
8.0,34.89,25.99,360.78,1.66,3187.73,65.0,Все работают,Оптимальное
26.31,57.42,52.71,71.86,79.09,9385.2,330.0,Все работают,Критическое
2.1,26.54,35.21,380.09,13.43,4924.12,100.0,Все работают,Оптимальное
13.25,31.75,28.51,832.95,15.72,195.4,90.0,Все работают,Оптимальное
41.99,35.71,26.57,51.51,31.95,8950.04,170.0,Все работают,Хорошее
52.55,89.15,90.67,52.32,74.08,8138.37,49.0,Некоторые остановлены,Критическое
12.47,15.58,34.31,773.2,34.18,3885.14,73.0,Все работают,Оптимальное
87.21,72.1,78.39,51.51,73.17,8761.23,196.0,Все работают,Критическое
30.0,59.5,93.86,852.09,88.1,8563.97,62.0,Некоторые остановлены,Критическое
3.24,37.16,48.24,624.73,48.8,6369.82,98.0,Все работают,Оптимальное
24.67,38.43,33.06,507.68,59.62,2231.43,89.0,Все работают,Оптимальное
6.36,11.19,35.5,302.05,38.86,5524.87,32.0,Все работают,Оптимальное
14.2,39.87,41.09,362.09,50.49,5943.05,57.0,Все работают,Оптимальное
8.89,49.07,81.86,721.62,93.29,8872.72,440.0,Все работают,Критическое
58.23,64.66,51.85,217.26,84.91,4850.54,87.0,Все работают,Хорошее
78.29,25.02,78.93,5.52,76.13,9291.26,190.0,Некоторые остановлены,Критическое с риском отказа
12.75,36.34,21.79,627.44,8.7,7541.41,40.0,Все работают,Оптимальное
6.87,94.99,89.41,557.45,96.91,5078.28,160.0,Все работают,Критическое
12.35,11.53,33.64,377.41,46.04,433.63,86.0,Все работают,Оптимальное
26.43,1.15,41.29,588.07,69.46,7576.49,67.0,Все работают,Оптимальное
16.54,67.66,96.6,60.2,95.67,8837.48,276.0,Некоторые остановлены,Критическое
43.66,69.42,27.01,59.55,75.79,8495.33,94.0,Все работают,Хорошее
0.46,66.13,61.74,3.39,99.7,9954.14,9.0,Все работают,Критическое с риском отказа
13.02,17.75,51.15,409.79,72.18,8169.98,60.0,Все работают,Хорошее
20.01,27.1,33.25,667.82,48.32,1593.74,43.0,Все работают,Оптимальное
59.34,40.24,44.99,68.21,73.29,5422.12,35.0,Все работают,Хорошее
27.29,7.03,35.93,316.41,52.26,6433.86,48.0,Все работают,Оптимальное
83.72,21.46,113.46,42.9,93.77,8619.55,232.0,Критический сервис остановлен,Критическое с риском отказа
91.4,39.84,101.94,63.61,99.77,9833.69,516.0,Некоторые остановлены,Критическое с риском отказа
59.43,41.82,74.21,52.75,3.54,8988.82,100.0,Все работают,Хорошее
53.66,76.93,36.21,14.4,1.04,126.25,116.0,Некоторые остановлены,Критическое
53.34,53.56,41.82,69.3,69.9,8686.1,109.0,Все работают,Хорошее
18.73,51.43,62.64,73.79,30.1,2711.45,153.0,Все работают,Хорошее
50.6,42.74,32.96,66.69,80.05,8873.61,136.0,Все работают,Хорошее
6.73,33.81,42.88,822.64,2.03,7372.3,53.0,Все работают,Оптимальное
22.38,16.79,31.1,892.67,52.81,2176.82,86.0,Все работают,Оптимальное
3.33,21.08,26.62,268.07,53.49,959.87,52.0,Все работают,Оптимальное
41.91,0.75,37.27,71.28,71.73,1374.99,111.0,Все работают,Хорошее
26.12,13.32,35.31,913.45,50.92,822.44,55.0,Все работают,Оптимальное
13.92,87.03,96.61,16.04,30.95,8591.42,139.0,Все работают,Критическое
19.34,18.51,47.27,636.61,31.54,7859.08,35.0,Все работают,Оптимальное
41.19,80.22,94.73,23.19,98.57,9333.36,139.0,Критический сервис остановлен,Критическое с риском отказа
49.3,64.4,35.25,364.16,66.34,8226.54,39.0,Все работают,Хорошее
56.29,6.17,41.64,415.16,42.74,8534.01,124.0,Все работают,Хорошее
58.99,34.92,46.22,342.26,74.09,733.71,74.0,Все работают,Хорошее
29.84,1.13,43.74,343.93,53.12,3588.81,32.0,Все работают,Оптимальное
7.13,9.54,76.57,68.96,94.34,8001.56,323.0,Некоторые остановлены,Критическое
28.6,15.62,39.07,767.53,24.14,1067.28,52.0,Все работают,Оптимальное
1.11,31.64,57.89,79.67,70.55,2855.79,64.0,Все работают,Хорошее
40.17,27.68,70.03,62.92,22.48,5287.35,157.0,Все работают,Хорошее
51.8,48.24,40.14,65.39,97.39,9848.67,217.0,Все работают,Критическое
28.48,27.16,33.32,567.1,45.47,7684.16,93.0,Все работают,Оптимальное
29.89,8.01,33.56,825.67,46.75,7130.65,76.0,Все работают,Оптимальное
53.71,22.16,95.09,51.97,99.05,8125.33,430.0,Критический сервис остановлен,Критическое с риском отказа
23.03,20.11,35.54,54.86,89.5,9845.93,181.0,Некоторые остановлены,Критическое
17.75,26.35,44.76,121.82,45.58,3984.3,91.0,Все работают,Оптимальное
13.19,18.58,29.38,977.34,36.05,1933.9,87.0,Все работают,Оптимальное
7.45,37.35,42.89,538.86,34.82,4043.56,75.0,Все работают,Оптимальное
25.42,35.3,30.98,604.66,38.73,4034.04,46.0,Все работают,Оптимальное
35.97,41.36,44.12,68.19,65.2,8162.5,164.0,Все работают,Хорошее
39.94,23.35,27.97,616.84,10.34,4580.56,32.0,Все работают,Хорошее
15.05,61.17,49.94,59.41,63.85,8675.87,178.0,Все работают,Хорошее
88.24,87.62,106.34,21.51,99.64,336.53,86.0,Некоторые остановлены,Критическое с риском отказа
3.28,2.03,21.57,739.97,47.68,7716.15,90.0,Все работают,Оптимальное
49.38,21.41,97.83,891.67,97.14,6303.69,34.0,Все работают,Критическое
43.63,66.68,28.19,229.49,80.78,6326.14,81.0,Все работают,Хорошее
14.32,0.27,33.4,357.79,45.76,5342.29,50.0,Все работают,Оптимальное
36.57,6.13,85.4,40.29,94.9,9525.51,239.0,Некоторые остановлены,Критическое
9.84,27.21,46.97,824.0,35.93,4470.38,80.0,Все работают,Оптимальное
10.34,83.53,49.58,58.61,53.61,9374.46,148.0,Все работают,Критическое
63.56,83.22,95.87,505.96,91.92,3685.0,54.0,Некоторые остановлены,Критическое
6.18,17.86,42.22,295.59,9.81,6526.29,71.0,Все работают,Оптимальное
39.02,25.04,100.94,41.43,90.31,8183.88,623.0,Все работают,Критическое с риском отказа
46.87,51.65,80.08,46.89,78.03,2147.69,237.0,Все работают,Критическое
36.35,29.88,67.39,921.92,75.71,8308.42,159.0,Все работают,Хорошее
9.39,29.65,36.6,21.81,16.1,9499.3,331.0,Все работают,Критическое
21.61,67.51,45.17,783.19,82.64,8067.97,57.0,Все работают,Хорошее
0.2,0.67,20.51,178.46,16.87,2138.6,77.0,Все работают,Оптимальное
20.52,3.74,63.82,69.1,34.99,8565.86,59.0,Все работают,Хорошее
5.38,0.63,42.57,355.33,47.39,6044.87,94.0,Все работают,Оптимальное
